as_of,position,symbol,cap_bucket,roce,ey,rank_roce,rank_ey,combined_rank
2026-09-07,167,IZMO,small,0.08454106280193237,0.025181111974154673,155,153,308
2026-09-07,168,ZENTEC,small,0.11588883062401678,0.01368080895456491,106,202,308
2026-09-07,169,SETL,small,0.11811926605504587,0.012990215471070708,102,206,308
2026-09-07,170,MBLINFRA,small,0.027777777777777776,0.03994147630787489,211,98,309
2026-09-07,171,SMARTWORKS,small,0.06140516104727821,0.029797355414031418,179,130,309
2026-09-07,172,GOKEX,small,0.05505388872706088,0.02964098929320165,187,133,320
2026-09-07,173,PPAP,small,0.029197080291970802,0.03378886685601021,210,114,324
2026-09-07,174,HARDWYN,small,0.04600484261501211,0.03001334911109936,196,128,324
2026-09-07,175,SHOPERSTOP,small,0.05626385809312639,0.02719707145127795,182,142,324
2026-09-07,176,ANURAS,small,0.07400999615532487,0.024225238935632783,171,156,327
2026-09-07,177,AGARWALEYE,small,0.09508408796895214,0.016953408559346742,137,190,327
2026-09-07,178,AETHER,small,0.10230003432887058,0.013574284785194214,123,204,327
2026-09-07,179,APOLLO,small,0.10554658050619278,0.01296887667887733,120,207,327
2026-09-07,180,KRISHIVAL,small,0.08733624454148471,0.018194799360252596,150,181,331
2026-09-07,181,HITECHGEAR,small,0.04815864022662889,0.0272073770485601,191,141,332
2026-09-07,182,STYLEBAAZA,small,0.06500691562932227,0.023291031396933767,174,159,333
2026-09-07,183,DIGISPICE,small,0.040880503144654086,0.029680384068132018,203,131,334
2026-09-07,184,YASHO,small,0.08782435129740519,0.016405134089700856,149,191,340
2026-09-07,185,LLOYDSENGG,small,0.09438202247191012,0.013622156578997844,138,203,341
2026-09-07,186,PGEL,small,0.08203017832647462,0.01799370442796397,162,183,345
2026-09-07,187,KMEW,small,0.09848484848484848,0.010389560237083177,130,215,345
2026-09-07,188,ASTERDM,small,0.08828722778104768,0.014223643476158327,148,198,346
2026-09-07,189,SHREDIGCEM,small,0.045454545454545456,0.025371462435779403,198,150,348
2026-09-07,190,MAHLOG,small,0.055342465753424656,0.02230631891035201,185,163,348
2026-09-07,191,TVSSCS,small,0.04343286698684485,0.025462134756365898,201,149,350
2026-09-07,192,BANARBEADS,small,0.03133793809158352,0.02696210971036867,208,143,351
2026-09-07,193,GANECOS,small,0.044607566346696784,0.02534486658909131,200,151,351
2026-09-07,194,FISCHER,small,0.08130081300813008,0.016993557257363328,164,189,353
2026-09-07,195,CARTRADE,small,0.08346036585365854,0.014942337380960671,158,197,355
2026-09-07,196,SASKEN,small,0.05549263873159683,0.01939919728732791,184,173,357
2026-09-07,197,CARBORUNIV,small,0.07769016697588126,0.015767826506921014,166,193,359
2026-09-07,198,RKFORGE,small,0.05122843700993204,0.019537207432407302,189,172,361
